date,CPI,Core CPI,Food,Energy,Commodities (less food and energy),Services (less energy),Food at home,Food away from home,Energy commodities,Energy services,New vehicles,Used cars and trucks,Apparel,Medical Care Commodities,Alcoholic beverages,Tobacco and smoking products,Shelter,Transportation services,Medical care services,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages,Other food at home,Full service meals,Fuel oil,Gasoline,Electricity,Utility gas service
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,0.10242085661080069,,0.14473684210526327,,,,,,,0.010928961748633892,,,0.07552083333333326,,,,,,,,,,0.11057692307692313,0.1351351351351351,,,,,,
1948-02-01,0.09481961147086038,,0.1212121212121211,,,,,,,0.010928961748633892,,,0.07731958762886593,,,,,,,,,,0.1090047393364928,0.11403508771929816,,,,,,
1948-03-01,0.06818181818181812,,0.06302521008403361,,,,,,,0.016393442622950838,,,0.06598984771573613,,,,,,,,,,0.04054054054054057,0.09401709401709413,,,,,,
1948-04-01,0.08272727272727276,,0.1063829787234043,,,,,,,0.016393442622950838,,,0.06045340050377823,,,,,,,,,,0.08715596330275233,0.08333333333333326,,,,,,
1948-05-01,0.09384965831435088,,0.12393162393162394,,,,,,,0.016393442622950838,,,0.06783919597989962,,,,,,,,,,0.054054054054053946,0.0826446280991735,,,,,,
